t_s,I_A
0.0,36000.0
60.0,36000.0
60.1,0.0
90.0,0.0
90.1,-36000.0
150.0,-36000.0
150.1,0.0
180.0,0.0
180.1,36000.0
240.0,36000.0
240.1,0.0
270.0,0.0
270.1,-36000.0
330.0,-36000.0
330.1,0.0
360.0,0.0
360.1,36000.0
420.0,36000.0
420.1,0.0
450.0,0.0
450.1,-36000.0
510.0,-36000.0
510.1,0.0
540.0,0.0
540.1,36000.0
600.0,36000.0
600.1,0.0
630.0,0.0
630.1,-36000.0
690.0,-36000.0
690.1,0.0
720.0,0.0
720.1,36000.0
780.0,36000.0
780.1,0.0
810.0,0.0
810.1,-36000.0
870.0,-36000.0
870.1,0.0
900.0,0.0
900.1,36000.0
960.0,36000.0
960.1,0.0
990.0,0.0
990.1,-36000.0
1050.0,-36000.0
1050.1,0.0
1080.0,0.0
